日期,球队,进球,赛事
2019/10/10,China PR,7,FIFA World Cup qualification
2019/10/10,Jordan,0,FIFA World Cup qualification
2019/10/10,Australia,5,FIFA World Cup qualification
2019/10/10,Iran,14,FIFA World Cup qualification
2019/10/10,Iraq,2,FIFA World Cup qualification
2019/10/10,Uzbekistan,5,FIFA World Cup qualification
2019/10/10,Saudi Arabia,3,FIFA World Cup qualification
2019/10/10,Bangladesh,0,FIFA World Cup qualification
2019/10/10,Oman,3,FIFA World Cup qualification
2019/10/10,Japan,6,FIFA World Cup qualification
2019/10/10,Kyrgyzstan,7,FIFA World Cup qualification
2019/10/10,United Arab Emirates,5,FIFA World Cup qualification
2019/10/10,Vietnam,1,FIFA World Cup qualification
2019/10/10,Lebanon,2,FIFA World Cup qualification
2019/10/10,South Korea,8,FIFA World Cup qualification
2019/10/11,Czech Republic,2,UEFA Euro qualification
2019/10/11,Montenegro,0,UEFA Euro qualification
2019/10/11,Portugal,3,UEFA Euro qualification
2019/10/11,Ukraine,2,UEFA Euro qualification
2019/10/11,Iceland,0,UEFA Euro qualification
2019/10/11,Andorra,1,UEFA Euro qualification
2019/10/11,Turkey,1,UEFA Euro qualification
2019/10/11,Morocco,1,Friendly
2019/10/11,Uruguay,1,Friendly
2019/10/11,United States,7,CONCACAF Nations League
2019/10/11,Bermuda,1,CONCACAF Nations League
2019/10/11,Antigua and Barbuda,2,CONCACAF Nations League
2019/10/11,Saint Vincent and the Grenadines,2,CONCACAF Nations League
2019/10/11,Nicaragua,3,CONCACAF Nations League
2019/10/12,Georgia,0,UEFA Euro qualification
2019/10/12,Denmark,1,UEFA Euro qualification
2019/10/12,Faroe Islands,0,UEFA Euro qualification
2019/10/12,Malta,0,UEFA Euro qualification
2019/10/12,Norway,1,UEFA Euro qualification
2019/10/12,Bosnia and Herzegovina,4,UEFA Euro qualification
2019/10/12,Italy,2,UEFA Euro qualification
2019/10/12,Liechtenstein,1,UEFA Euro qualification
2019/10/12,Colombia,0,Friendly
2019/10/12,Guinea,0,Friendly
2019/10/12,Ivory Coast,3,Friendly
2019/10/12,Tunisia,0,Friendly
2019/10/12,Dominican Republic,3,CONCACAF Nations League
2019/10/12,Montserrat,0,CONCACAF Nations League
2019/10/12,Jamaica,2,CONCACAF Nations League
2019/10/12,Barbados,1,CONCACAF Nations League
2019/10/12,Saint Martin,3,CONCACAF Nations League
2019/10/12,Anguilla,0,CONCACAF Nations League
2019/10/13,Belarus,1,UEFA Euro qualification
2019/10/13,Estonia,0,UEFA Euro qualification
2019/10/13,Hungary,1,UEFA Euro qualification
2019/10/13,Wales,1,UEFA Euro qualification
2019/10/13,Poland,2,UEFA Euro qualification
2019/10/13,Slovenia,0,UEFA Euro qualification
2019/10/13,Scotland,6,UEFA Euro qualification
2019/10/13,Cyprus,0,UEFA Euro qualification
2019/10/13,Kazakhstan,0,UEFA Euro qualification
2019/10/13,Gambia,1,African Cup of Nations qualification
2019/10/13,Chad,1,African Cup of Nations qualification
2019/10/13,São Tomé and Príncipe,2,African Cup of Nations qualification
2019/10/13,Seychelles,0,African Cup of Nations qualification
2019/10/13,Benin,2,Friendly
2019/10/13,Brazil,1,Friendly
2019/10/13,Ecuador,1,Friendly
2019/10/13,Equatorial Guinea,1,Friendly
2019/10/13,Ethiopia,0,Friendly
2019/10/13,Kenya,0,Friendly
2019/10/13,Lesotho,1,Friendly
2019/10/13,Niger,0,Friendly
2019/10/13,Slovakia,1,Friendly
2019/10/13,South Africa,2,Friendly
2019/10/13,Honduras,1,CONCACAF Nations League
2019/10/13,Costa Rica,0,CONCACAF Nations League
2019/10/13,Saint Kitts and Nevis,0,CONCACAF Nations League
2019/10/13,Grenada,1,CONCACAF Nations League
2019/10/13,British Virgin Islands,3,CONCACAF Nations League
2019/10/14,Kosovo,2,UEFA Euro qualification
2019/10/14,Bulgaria,0,UEFA Euro qualification
2019/10/14,Lithuania,1,UEFA Euro qualification
2019/10/14,Ukraine,2,UEFA Euro qualification
2019/10/14,Iceland,2,UEFA Euro qualification
2019/10/14,France,1,UEFA Euro qualification
2019/10/14,Moldova,0,UEFA Euro qualification
2019/10/14,Czech Republic,2,Friendly
2019/10/14,Egypt,1,Friendly
2019/10/14,Rwanda,0,Friendly
2019/10/14,Venezuela,2,Friendly
2019/10/14,Guyana,5,CONCACAF Nations League
2019/10/14,Dominica,0,CONCACAF Nations League
2019/10/14,Suriname,0,CONCACAF Nations League
2019/10/14,Sint Maarten,1,CONCACAF Nations League
2019/10/15,Gibraltar,2,UEFA Euro qualification
2019/10/15,Switzerland,2,UEFA Euro qualification
2019/10/15,Faroe Islands,1,UEFA Euro qualification
2019/10/15,Sweden,1,UEFA Euro qualification
2019/10/15,Romania,1,UEFA Euro qualification
2019/10/15,Israel,3,UEFA Euro qualification
2019/10/15,Finland,3,UEFA Euro qualification
2019/10/15,Liechtenstein,0,UEFA Euro qualification
2019/10/15,Greece,2,UEFA Euro qualification
2019/10/15,Algeria,3,Friendly
2019/10/15,Bermuda,0,Friendly
2019/10/15,Bolivia,3,Friendly
2019/10/15,Chile,3,Friendly
2019/10/15,Denmark,4,Friendly
2019/10/15,Kuwait,1,Friendly
2019/10/15,Mauritania,0,Friendly
2019/10/15,Morocco,2,Friendly
2019/10/15,Peru,1,Friendly
2019/10/15,Canada,2,CONCACAF Nations League
2019/10/15,Mexico,3,CONCACAF Nations League
2019/10/15,Dominican Republic,0,CONCACAF Nations League
2019/10/15,Saint Lucia,0,CONCACAF Nations League
2019/10/15,Aruba,0,CONCACAF Nations League
2019/10/15,Cayman Islands,1,CONCACAF Nations League
2019/10/15,U.S. Virgin Islands,0,CONCACAF Nations League
2019/10/15,Anguilla,2,CONCACAF Nations League
2019/10/15,Syria,4,FIFA World Cup qualification
2019/10/15,Philippines,0,FIFA World Cup qualification
2019/10/15,Jordan,3,FIFA World Cup qualification
2019/10/15,Chinese Taipei,1,FIFA World Cup qualification
2019/10/15,Cambodia,0,FIFA World Cup qualification
2019/10/15,Bahrain,1,FIFA World Cup qualification
2019/10/15,Palestine,0,FIFA World Cup qualification
2019/10/15,Singapore,1,FIFA World Cup qualification
2019/10/15,India,1,FIFA World Cup qualification
2019/10/15,Qatar,2,FIFA World Cup qualification
2019/10/15,Mongolia,1,FIFA World Cup qualification
2019/10/15,Tajikistan,0,FIFA World Cup qualification
2019/10/15,Thailand,2,FIFA World Cup qualification
2019/10/15,Indonesia,1,FIFA World Cup qualification
2019/10/15,North Korea,0,FIFA World Cup qualification
2019/10/15,Sri Lanka,0,FIFA World Cup qualification
2019/10/18,Sudan,1,African Nations Championship qualification
2019/10/19,Rwanda,1,African Nations Championship qualification
2019/10/19,Uganda,3,African Nations Championship qualification
2019/10/19,Morocco,3,African Nations Championship qualification
2019/10/19,Namibia,2,African Nations Championship qualification
2019/10/19,Zambia,2,African Nations Championship qualification
2019/10/19,Nigeria,2,African Nations Championship qualification
2019/10/20,Congo,1,African Nations Championship qualification
2019/10/20,DR Congo,4,African Nations Championship qualification
2019/10/20,Libya,1,African Nations Championship qualification
2019/10/20,Lesotho,0,African Nations Championship qualification
2019/10/20,Guinea,1,African Nations Championship qualification
2019/10/20,Mali,2,African Nations Championship qualification
2019/10/20,Burkina Faso,0,African Nations Championship qualification
2019/10/20,Ivory Coast,1,African Nations Championship qualification
2019/11/7,Egypt,1,Friendly
2019/11/7,Nicaragua,0,Friendly
2019/11/9,Malaysia,1,Friendly
2019/11/9,Namibia,0,Friendly
2019/11/9,Uzbekistan,3,Friendly
2019/11/10,Nicaragua,0,Friendly
2019/11/10,Trinidad and Tobago,15,Friendly
2019/11/13,Namibia,2,African Cup of Nations qualification
2019/11/13,Malawi,1,African Cup of Nations qualification
2019/11/13,Burkina Faso,0,African Cup of Nations qualification
2019/11/13,Sudan,4,African Cup of Nations qualification
2019/11/13,Angola,1,African Cup of Nations qualification
2019/11/13,Central African Republic,2,African Cup of Nations qualification
2019/11/13,Cameroon,0,African Cup of Nations qualification
2019/11/13,Guinea-Bissau,3,African Cup of Nations qualification
2019/11/13,Senegal,2,African Cup of Nations qualification
2019/11/13,Nigeria,2,African Cup of Nations qualification
2019/11/13,Sierra Leone,1,African Cup of Nations qualification
2019/11/14,Mali,2,African Cup of Nations qualification
2019/11/14,Ghana,2,African Cup of Nations qualification
2019/11/14,DR Congo,0,African Cup of Nations qualification
2019/11/14,Mozambique,2,African Cup of Nations qualification
2019/11/14,Egypt,1,African Cup of Nations qualification
2019/11/14,Togo,0,African Cup of Nations qualification
2019/11/14,Algeria,5,African Cup of Nations qualification
2019/11/14,England,7,UEFA Euro qualification
2019/11/14,Czech Republic,2,UEFA Euro qualification
2019/11/14,Portugal,6,UEFA Euro qualification
2019/11/14,Serbia,3,UEFA Euro qualification
2019/11/14,Turkey,0,UEFA Euro qualification
2019/11/14,Albania,2,UEFA Euro qualification
2019/11/14,France,2,UEFA Euro qualification
2019/11/14,Martinique,1,CONCACAF Nations League
2019/11/14,Curaçao,1,CONCACAF Nations League
2019/11/14,Saint Kitts and Nevis,0,CONCACAF Nations League
2019/11/14,Belize,2,CONCACAF Nations League
2019/11/14,Bahamas,3,CONCACAF Nations League
2019/11/14,Turks and Caicos Islands,3,CONCACAF Nations League
2019/11/14,Bulgaria,0,Friendly
2019/11/14,Cambodia,1,Friendly
2019/11/14,Ecuador,3,Friendly
2019/11/14,Qatar,2,Friendly
2019/11/14,Republic of Ireland,3,Friendly
2019/11/14,Ukraine,1,Friendly
2019/11/14,Maldives,1,FIFA World Cup qualification
2019/11/14,Syria,2,FIFA World Cup qualification
2019/11/14,Jordan,0,FIFA World Cup qualification
2019/11/14,Kuwait,9,FIFA World Cup qualification
2019/11/14,Iraq,2,FIFA World Cup qualification
2019/11/14,Hong Kong,0,FIFA World Cup qualification
2019/11/14,Uzbekistan,2,FIFA World Cup qualification
2019/11/14,Yemen,1,FIFA World Cup qualification
2019/11/14,Afghanistan,1,FIFA World Cup qualification
2019/11/14,Oman,4,FIFA World Cup qualification
2019/11/14,Myanmar,4,FIFA World Cup qualification
2019/11/14,Kyrgyzstan,0,FIFA World Cup qualification
2019/11/14,Vietnam,1,FIFA World Cup qualification
2019/11/14,Malaysia,2,FIFA World Cup qualification
2019/11/14,Lebanon,0,FIFA World Cup qualification
2019/11/14,Turkmenistan,3,FIFA World Cup qualification
2019/11/15,Morocco,0,African Cup of Nations qualification
2019/11/15,Zimbabwe,0,African Cup of Nations qualification
2019/11/15,Tanzania,2,African Cup of Nations qualification
2019/11/15,Tunisia,4,African Cup of Nations qualification
2019/11/15,Denmark,6,UEFA Euro qualification
2019/11/15,Switzerland,1,UEFA Euro qualification
2019/11/15,Norway,4,UEFA Euro qualification
2019/11/15,Spain,7,UEFA Euro qualification
2019/11/15,Romania,0,UEFA Euro qualification
2019/11/15,Finland,3,UEFA Euro qualification
2019/11/15,Bosnia and Herzegovina,0,UEFA Euro qualification
2019/11/15,Armenia,0,UEFA Euro qualification
2019/11/15,United States,4,CONCACAF Nations League
2019/11/15,Panama,0,CONCACAF Nations League
2019/11/15,Antigua and Barbuda,0,CONCACAF Nations League
2019/11/15,Guyana,4,CONCACAF Nations League
2019/11/15,Saint Vincent and the Grenadines,1,CONCACAF Nations League
2019/11/15,Suriname,4,CONCACAF Nations League
2019/11/15,Colombia,1,Friendly
2019/11/15,Hungary,1,Friendly
2019/11/16,Ivory Coast,1,African Cup of Nations qualification
2019/11/16,Madagascar,1,African Cup of Nations qualification
2019/11/16,Northern Ireland,0,UEFA Euro qualification
2019/11/16,Germany,4,UEFA Euro qualification
2019/11/16,Croatia,3,UEFA Euro qualification
2019/11/16,Azerbaijan,0,UEFA Euro qualification
2019/11/16,Slovenia,1,UEFA Euro qualification
2019/11/16,Austria,2,UEFA Euro qualification
2019/11/16,Israel,1,UEFA Euro qualification
2019/11/16,Cyprus,1,UEFA Euro qualification
2019/11/16,San Marino,1,UEFA Euro qualification
2019/11/16,Russia,1,UEFA Euro qualification
2019/11/16,Saint Lucia,1,CONCACAF Nations League
2019/11/16,El Salvador,1,CONCACAF Nations League
2019/11/16,Saint Martin,1,CONCACAF Nations League
2019/11/16,Cayman Islands,1,CONCACAF Nations League
2019/11/16,Guatemala,5,CONCACAF Nations League
2019/11/17,Chad,0,African Cup of Nations qualification
2019/11/17,Guinea,2,African Cup of Nations qualification
2019/11/17,South Sudan,1,African Cup of Nations qualification
2019/11/17,Uganda,2,African Cup of Nations qualification
2019/11/17,South Africa,1,African Cup of Nations qualification
2019/11/17,Gabon,2,African Cup of Nations qualification
2019/11/17,Rwanda,0,African Cup of Nations qualification
2019/11/17,Congo,3,African Cup of Nations qualification
2019/11/17,Eswatini,1,African Cup of Nations qualification
2019/11/17,Benin,1,African Cup of Nations qualification
2019/11/17,Lesotho,2,African Cup of Nations qualification
2019/11/17,Kosovo,0,UEFA Euro qualification
2019/11/17,Bulgaria,1,UEFA Euro qualification
2019/11/17,Luxembourg,0,UEFA Euro qualification
2019/11/17,Serbia,2,UEFA Euro qualification
2019/11/17,Albania,0,UEFA Euro qualification
2019/11/17,Andorra,0,UEFA Euro qualification
2019/11/17,Moldova,1,UEFA Euro qualification
2019/11/17,Honduras,4,CONCACAF Nations League
2019/11/17,Costa Rica,1,CONCACAF Nations League
2019/11/17,Grenada,3,CONCACAF Nations League
2019/11/17,French Guiana,3,CONCACAF Nations League
2019/11/17,Bonaire,1,CONCACAF Nations League
2019/11/17,Guadeloupe,10,CONCACAF Nations League
2019/11/17,Lithuania,1,Friendly
2019/11/18,São Tomé and Príncipe,0,African Cup of Nations qualification
2019/11/18,Gambia,2,African Cup of Nations qualification
2019/11/18,Cape Verde,2,African Cup of Nations qualification
2019/11/18,Comoros,0,African Cup of Nations qualification
2019/11/18,Kenya,1,African Cup of Nations qualification
2019/11/18,Botswana,0,African Cup of Nations qualification
2019/11/18,Niger,2,African Cup of Nations qualification
2019/11/18,Republic of Ireland,1,UEFA Euro qualification
2019/11/18,Gibraltar,1,UEFA Euro qualification
2019/11/18,Malta,1,UEFA Euro qualification
2019/11/18,Spain,5,UEFA Euro qualification
2019/11/18,Sweden,3,UEFA Euro qualification
2019/11/18,Italy,9,UEFA Euro qualification
2019/11/18,Liechtenstein,0,UEFA Euro qualification
2019/11/18,Greece,2,UEFA Euro qualification
2019/11/18,Jamaica,1,CONCACAF Nations League
2019/11/18,Aruba,2,CONCACAF Nations League
2019/11/18,Nicaragua,1,CONCACAF Nations League
2019/11/18,Dominica,1,CONCACAF Nations League
2019/11/18,Argentina,2,Friendly
2019/11/19,Burundi,0,African Cup of Nations qualification
2019/11/19,Mauritania,2,African Cup of Nations qualification
2019/11/19,Zambia,1,African Cup of Nations qualification
2019/11/19,Equatorial Guinea,0,African Cup of Nations qualification
2019/11/19,Libya,2,African Cup of Nations qualification
2019/11/19,Ethiopia,2,African Cup of Nations qualification
2019/11/19,Germany,6,UEFA Euro qualification
2019/11/19,Netherlands,5,UEFA Euro qualification
2019/11/19,Wales,2,UEFA Euro qualification
2019/11/19,Slovakia,2,UEFA Euro qualification
2019/11/19,North Macedonia,1,UEFA Euro qualification
2019/11/19,Poland,3,UEFA Euro qualification
2019/11/19,Latvia,1,UEFA Euro qualification
2019/11/19,Scotland,3,UEFA Euro qualification
2019/11/19,Belgium,6,UEFA Euro qualification
2019/11/19,San Marino,0,UEFA Euro qualification
2019/11/19,Cuba,0,CONCACAF Nations League
2019/11/19,Mexico,2,CONCACAF Nations League
2019/11/19,El Salvador,2,CONCACAF Nations League
2019/11/19,Saint Lucia,0,CONCACAF Nations League
2019/11/19,Barbados,3,CONCACAF Nations League
2019/11/19,U.S. Virgin Islands,1,CONCACAF Nations League
2019/11/19,Puerto Rico,3,CONCACAF Nations League
2019/11/19,Brazil,3,Friendly
2019/11/19,Croatia,2,Friendly
2019/11/19,Ecuador,0,Friendly
2019/11/19,Montenegro,2,Friendly
2019/11/19,Saudi Arabia,0,Friendly
2019/11/19,Maldives,3,FIFA World Cup qualification
2019/11/19,Syria,1,FIFA World Cup qualification
2019/11/19,Nepal,0,FIFA World Cup qualification
2019/11/19,Jordan,5,FIFA World Cup qualification
2019/11/19,Iraq,0,FIFA World Cup qualification
2019/11/19,Hong Kong,2,FIFA World Cup qualification
2019/11/19,Uzbekistan,2,FIFA World Cup qualification
2019/11/19,Yemen,1,FIFA World Cup qualification
2019/11/19,Afghanistan,0,FIFA World Cup qualification
2019/11/19,Oman,1,FIFA World Cup qualification
2019/11/19,Myanmar,1,FIFA World Cup qualification
2019/11/19,Kyrgyzstan,1,FIFA World Cup qualification
2019/11/19,Vietnam,0,FIFA World Cup qualification
2019/11/19,Malaysia,2,FIFA World Cup qualification
2019/11/19,Turkmenistan,2,FIFA World Cup qualification
2019/11/19,Lebanon,0,FIFA World Cup qualification
2019/11/21,Guatemala,8,Friendly
2019/11/26,Qatar,1,Gulf Cup
2019/11/26,United Arab Emirates,3,Gulf Cup
2019/11/27,Oman,0,Gulf Cup
2019/11/27,Saudi Arabia,1,Gulf Cup
2019/11/29,United Arab Emirates,0,Gulf Cup
2019/11/29,Qatar,6,Gulf Cup
2019/11/30,Kuwait,1,Gulf Cup
2019/11/30,Bahrain,0,Gulf Cup
2019/12/2,Qatar,4,Gulf Cup
2019/12/2,Yemen,0,Gulf Cup
2019/12/2,Kuwait,2,Gulf Cup
2019/12/2,Oman,1,Gulf Cup
2019/12/5,Iraq,2,Gulf Cup
2019/12/5,Qatar,0,Gulf Cup
2019/12/8,Bahrain,1,Gulf Cup
2019/12/10,China PR,1,EAFF Championship
2019/12/11,South Korea,2,EAFF Championship
2019/12/14,Japan,5,EAFF Championship
2019/12/15,South Korea,1,EAFF Championship
2019/12/18,Hong Kong,0,EAFF Championship
2019/12/18,South Korea,1,EAFF Championship